 n       hMax [m]     wMax [mm]
 1    10.00000000000     9.87387827
 2     2.49466100656     4.97183608
 3     0.63276017545     2.51178619
 4     0.16058207486     1.26910129
 5     0.04046397059     0.64031534
 6     0.01002858933     0.32201325
 7     0.00239917584     0.16085257
 8     0.00053012002     0.07922586
 9     0.00009490838     0.03783789
10     0.00000588204     0.01701446
11    -0.00000660874     0.01123246
12    -0.00000917794     0.01009085
13    -0.00000968520     0.00986545
14    -0.00000978536     0.00982095
15    -0.00000980527     0.00981176
